System,ligand_ID,exp_microM,exp_dG,run,lig_coul,lig_vdw,rest_analytical_dGoff,comp_rest,comp_vdw,comp_coul,rocklin_lig,rocklin_comp,calc_dG
CycloD,4,7500,-2.90,5,0.60,75.90,-6.65,0.90,10.24,76.45,0.00,0.00,-4.44
CycloD,7,10000,-2.73,1,0.89,113.68,-7.17,0.70,9.68,116.33,0.00,0.00,-4.97
CycloD,7,10000,-2.73,2,0.92,113.67,-7.08,0.49,9.84,116.34,0.00,0.00,-5.01
CycloD,7,10000,-2.73,3,0.90,113.70,-7.10,0.54,10.01,116.03,0.00,0.00,-4.87
CycloD,7,10000,-2.73,4,0.87,113.71,-7.12,0.58,9.33,116.37,0.00,0.00,-4.58
CycloD,7,10000,-2.73,5,0.88,113.73,-7.13,0.56,9.95,116.06,0.00,0.00,-4.84
CycloD,8,1100,-4.04,1,-0.80,-7.65,-6.97,0.67,10.45,-5.37,0.00,0.00,-7.23
CycloD,8,1100,-4.04,2,-0.79,-7.60,-7.00,0.67,10.39,-5.13,0.00,0.00,-7.32
CycloD,8,1100,-4.04,3,-0.76,-7.74,-7.00,0.65,10.56,-5.08,0.00,0.00,-7.63
CycloD,8,1100,-4.04,4,-0.74,-7.62,-7.00,0.59,10.86,-5.06,0.00,0.00,-7.76
CycloD,8,1100,-4.04,5,-0.73,-7.60,-7.04,0.69,9.87,-5.60,0.00,0.00,-6.26
CycloD,14,0.006,-11.22,1,0.88,130.78,-6.89,0.46,15.44,135.43,0.00,0.00,-12.77
CycloD,14,0.006,-11.22,2,0.78,130.88,-6.87,1.43,14.71,135.20,0.00,0.00,-12.81
CycloD,14,0.006,-11.22,3,0.93,130.73,-6.73,0.50,12.52,137.79,0.00,0.00,-12.41
CycloD,14,0.006,-11.22,4,0.93,130.80,-6.89,0.60,15.03,135.99,0.00,0.00,-13.00
CycloD,14,0.006,-11.22,5,0.86,130.80,-6.88,0.46,15.96,135.70,0.00,0.00,-13.59
CycloD,16,0.67,-8.42,1,0.77,130.31,-7.03,0.50,13.11,134.43,0.00,0.00,-9.92
CycloD,16,0.67,-8.42,2,0.75,130.28,-7.05,0.71,14.93,133.48,0.00,0.00,-11.04
CycloD,16,0.67,-8.42,3,0.82,130.28,-6.77,0.51,14.89,133.44,0.00,0.00,-10.97
CycloD,16,0.67,-8.42,4,0.80,130.16,-6.72,0.56,12.26,135.44,0.00,0.00,-10.57
CycloD,16,0.67,-8.42,5,0.83,130.29,-7.05,0.50,13.86,133.99,0.00,0.00,-10.20
CycloD,27,2.8,-7.57,1,0.39,13.84,-6.98,0.75,12.11,16.69,0.00,0.00,-8.33
CycloD,27,2.8,-7.57,2,0.29,13.84,-6.81,0.48,13.87,17.65,0.00,0.00,-11.07
CycloD,27,2.8,-7.57,3,0.33,13.91,-6.70,1.22,13.69,16.54,0.00,0.00,-10.52
CycloD,27,2.8,-7.57,4,0.38,13.96,-6.80,0.47,14.21,17.35,0.00,0.00,-10.89
CycloD,27,2.8,-7.57,5,0.37,13.90,-6.76,0.68,13.50,17.08,0.00,0.00,-10.23
CycloD,39,0.66,-8.43,1,1.90,110.98,-6.39,0.69,14.35,117.01,0.00,0.00,-12.79
CycloD,39,0.66,-8.43,2,2.12,111.09,-6.40,0.64,14.90,116.53,0.00,0.00,-12.45
CycloD,39,0.66,-8.43,3,2.08,110.99,-6.35,0.85,13.57,116.89,0.00,0.00,-11.88
CycloD,39,0.66,-8.43,4,1.94,110.88,-6.93,0.54,15.50,116.59,0.00,0.00,-12.88
CycloD,39,0.66,-8.43,5,1.94,111.02,-6.47,1.09,14.12,117.32,0.00,0.00,-13.10
CycloD,39,0.66,-8.43,6,2.02,110.99,-6.94,0.53,15.90,116.07,0.00,0.00,-12.55
CycloD,39,0.66,-8.43,7,2.17,111.03,-6.94,0.59,15.69,115.83,0.00,0.00,-11.98
CycloD,39,0.66,-8.43,8,2.10,111.03,-6.92,0.55,15.53,115.70,0.00,0.00,-11.74
CycloD,39,0.66,-8.43,9,2.10,111.16,-6.36,0.72,14.29,117.10,0.00,0.00,-12.49
CycloD,39,0.66,-8.43,10,1.98,110.94,-6.43,0.64,14.43,116.80,0.00,0.00,-12.52
CycloD,39,0.66,-8.43,11,1.92,110.94,-6.81,0.76,15.41,117.44,0.00,0.00,-13.94
CycloD,39,0.66,-8.43,12,2.13,111.01,-6.99,0.69,15.79,116.41,0.00,0.00,-12.75
CycloD,39,0.66,-8.43,13,1.95,111.01,-6.49,0.69,14.32,116.29,0.00,0.00,-11.85
CycloD,39,0.66,-8.43,14,2.13,110.88,-6.94,0.61,16.06,115.75,0.00,0.00,-12.47
CycloD,39,0.66,-8.43,15,2.07,111.05,-6.89,0.68,15.76,115.86,0.00,0.00,-12.29
CycloD,39,0.66,-8.43,16,2.19,111.00,-6.67,0.71,13.62,117.05,0.00,0.00,-11.52
CycloD,39,0.66,-8.43,17,2.11,111.07,-6.95,0.55,15.59,116.63,0.00,0.00,-12.64
CycloD,39,0.66,-8.43,18,1.93,111.07,-6.80,0.63,14.96,117.57,0.00,0.00,-13.36
CycloD,39,0.66,-8.43,19,2.00,110.98,-6.95,0.57,15.55,115.81,0.00,0.00,-12.00
CycloD,39,0.66,-8.43,20,2.13,111.01,-6.92,0.56,15.74,116.34,0.00,0.00,-12.57
CycloD,40,1.2,-8.08,1,1.95,111.01,-7.05,2.01,14.78,115.33,0.00,0.00,-12.11
CycloD,40,1.2,-8.08,2,1.99,110.97,-6.71,0.47,14.61,116.17,0.00,0.00,-11.58
CycloD,40,1.2,-8.08,3,2.01,111.03,-6.88,0.72,14.95,115.45,0.00,0.00,-11.20
CycloD,40,1.2,-8.08,4,1.95,111.03,-6.94,0.75,14.76,115.90,0.00,0.00,-11.49
CycloD,40,1.2,-8.08,5,1.90,110.88,-6.56,0.79,15.66,115.41,0.00,0.00,-12.51
